Species	Status	min_age	max_age
Tyrannosauridae	extinct	70.6	85.8
Theropoda	extinct	72.1	83.6
Maiasaura_peeblesorum	extinct	72.1	83.6
Theropoda	extinct	70.6	83.5
Ankylosauridae	extinct	70.6	83.5
Theropoda	extinct	72.1	83.6
Hadrosauridae	extinct	70.6	83.5
Hadrosauridae	extinct	70.6	83.5
Pachyrhinosaurus_lakustai	extinct	70.6	83.5
Ornithischia	extinct	122.46	136.4
Aves	extinct	5.333	23.03
Theropoda	extinct	70.6	83.5
Hadrosauridae	extinct	70.6	83.5
Carnosauria	extinct	70.6	83.5
Allosaurus	extinct	145	157.3
Diplodocus	extinct	145	157.3
Stegosaurus	extinct	145	157.3
Dryosaurus	extinct	145	157.3
Camptosaurus	extinct	145	157.3
Larus	extinct	2.588	3.6
Stercorarius	extinct	2.588	3.6
Egretta	extinct	2.588	3.6
Anabernicula	extinct	2.588	3.6
Recurvirostra	extinct	2.588	3.6
Calidris	extinct	2.588	3.6
Calidris	extinct	2.588	3.6
Euornithopoda	extinct	113	125
Dromaeosauridae	extinct	113	125
Saurischia	extinct	145	157.3
Allosauridae	extinct	145	157.3
Diplodocidae	extinct	145	157.3
Iguanodon_bernissartensis	extinct	113	125
Mantellisaurus_atherfieldensis	extinct	113	125
Iguanodon_bernissartensis	extinct	113	125
Hesperornithiformes	extinct	93.5	99.6
Struthio	extinct	11.62	13.82
Accipitridae	extinct	11.62	13.82
Accipitridae	extinct	0	2.588
Struthio_camelus	extinct	0	2.588
Aves	extinct	0	0.0117
Aves	extinct	0	2.588
Aves	extinct	0.0117	2.588
Struthio_camelus	extinct	0.0117	2.588
Struthio_camelus	extinct	0	2.588
Francolinus	extinct	0.0117	5.333
Aves	extinct	0.0117	5.333
Coturnix	extinct	0.0117	5.333
Turnix	extinct	0.0117	5.333
Passer	extinct	0.0117	5.333
Ploceus	extinct	0.0117	5.333
Tyto	extinct	0.0117	5.333
Aves	extinct	0.0117	5.333
Struthionidae	extinct	0.781	2.588
Phalacrocorax	extinct	0.781	2.588
Styracosaurus_albertensis	extinct	70.6	83.5
Centrosaurus_apertus	extinct	70.6	83.5
Aves	extinct	1.806	2.588
Aves	extinct	1.806	2.588
Francolinus	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Francolinus	extinct	1.806	2.588
Numida	extinct	1.806	2.588
Streptopelia	extinct	1.806	2.588
Francolinus	extinct	1.806	2.588
Francolinus	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Streptopelia	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Aves	extinct	0.781	1.806
Accipitridae	extinct	0.0117	2.588
Aves	extinct	0.781	2.588
Plataleidae	extinct	0.781	2.588
Struthio	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Numida	extinct	0.0117	5.333
Aves	extinct	2.588	5.333
Aves	extinct	2.588	5.333
Aves	extinct	0.0117	2.588
Plataleidae	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Phasianidae	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Struthio	extinct	0.0117	2.588
Plataleidae	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Francolinus	extinct	2.588	5.333
Numida	extinct	2.588	5.333
Aegypius	extinct	2.588	5.333
Francolinus	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Bubo	extinct	2.588	3.6
Aves	extinct	0.781	1.806
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Diplodocus_longus	extinct	145	150.8
Apatosaurus	extinct	145	150.8
Camarasaurus_lentus	extinct	145	150.8
Stegosaurus	extinct	145	150.8
Aves	extinct	0	0.0117
Struthio_camelus	extinct	0	0.0117
Numida	extinct	0	0.0117
Corvus	extinct	0	0.0117
Struthio_camelus	extinct	0	0.0117
Numida	extinct	0	0.0117
Pelecanus	extinct	0	0.0117
Francolinus	extinct	0	0.0117
Strigidae	extinct	0	0.0117
Aves	extinct	0	0.0117
Struthio_camelus	extinct	0	0.0117
Numida	extinct	0	0.0117
Aves	extinct	0	0.0117
Aves	extinct	0	0.0117
Struthio_camelus	extinct	0	0.0117
Numida	extinct	0	0.0117
Corvus	extinct	0	0.0117
Struthio	extinct	0.781	2.588
Struthio	extinct	0.781	1.806
Struthio	extinct	0.781	1.806
Accipitridae	extinct	0	2.588
Phalacrocorax_carbo	extinct	0	2.588
Pelecanus	extinct	0	2.588
Phalacrocorax	extinct	0	2.588
Anhinga	extinct	0	2.588
Egretta	extinct	0	2.588
Mycteria	extinct	0	2.588
Ciconiidae	extinct	0	2.588
Ciconiidae	extinct	0	2.588
Anas	extinct	0	2.588
Accipitridae	extinct	0	2.588
Accipitridae	extinct	0	2.588
Francolinus	extinct	0	2.588
Numenius	extinct	0	2.588
Corvus	extinct	0	2.588
Accipitridae	extinct	0	2.588
Larus	extinct	0	2.588
Larus	extinct	0	2.588
Bubo	extinct	0	2.588
Aves	extinct	11.62	13.82
Phasianidae	extinct	11.62	13.82
Ardeidae	extinct	11.62	13.82
Bucerotidae	extinct	11.62	13.82
Burhinidae	extinct	11.62	13.82
Aves	extinct	11.62	13.82
Gruidae	extinct	11.62	13.82
Ardeidae	extinct	11.62	13.82
Burhinidae	extinct	11.62	13.82
Otididae	extinct	11.62	13.82
Aves	extinct	0.126	0.781
Inguza_predemersus	extinct	5.333	11.608
Dege_hendeyi	extinct	3.6	5.333
Colius	extinct	3.6	5.333
Dege_hendeyi	extinct	3.6	5.333
Colius	extinct	2.588	23.03
Colius	extinct	3.6	5.333
Scopus	extinct	3.6	5.333
Ciconia	extinct	3.6	5.333
Aves	extinct	0.0117	5.333
Struthio	extinct	0.0117	5.333
Columba	extinct	0.0117	5.333
Aves	extinct	0.781	1.806
Struthionidae	extinct	0.781	1.806
Phalacrocorax	extinct	1.806	2.588
Bubo	extinct	1.806	2.588
Aves	extinct	1.806	2.588
Struthionidae	extinct	1.806	2.588
Struthionidae	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Struthionidae	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Aves	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Pelecanus	extinct	0.781	2.588
Colius	extinct	0.781	2.588
Phalacrocorax	extinct	0.781	1.806
Aves	extinct	0.781	2.588
Struthionidae	extinct	0.781	2.588
Balearica	extinct	10.3	13.6
Prosauropoda	extinct	201.3	208.5
Hypacrosaurus_stebingeri	extinct	72.1	83.6
Prosaurolophus_blackfeetensis	extinct	70.6	83.5
Einiosaurus_procurvicornis	extinct	72.1	83.6
Hadrosauridae	extinct	72.1	83.6
Einiosaurus_procurvicornis	extinct	72.1	83.6
Chindesaurus_bryansmalli	extinct	208.5	228
Agujaceratops_mariscalensis	extinct	70.6	83.5
Phalacrocorax	extinct	2.588	3.6
Potamornis_skutchi	extinct	66	70.6
Sauroposeidon_proteles	extinct	100.5	125
Ephippiorhynchus	extinct	2.588	11.608
Ciconiidae	extinct	2.588	11.608
Ardea	extinct	2.588	11.608
Phalacrocorax	extinct	2.588	11.608
Anatidae	extinct	2.588	11.608
Dromaeosaurus_albertensis	extinct	70.6	83.5
Saurornitholestes_langstoni	extinct	70.6	83.5
Troodon_formosus	extinct	70.6	83.5
Richardoestesia_gilmorei	extinct	70.6	83.5
Theropoda	extinct	70.6	83.5
Dromaeosaurus_albertensis	extinct	70.6	83.5
Saurornitholestes_langstoni	extinct	70.6	83.5
Troodon_formosus	extinct	70.6	83.5
Richardoestesia_gilmorei	extinct	70.6	83.5
Theropoda	extinct	70.6	83.5
Avaceratops_lammersi	extinct	70.6	83.5
Hadrosaurinae	extinct	70.6	83.5
Troodontidae	extinct	70.6	83.5
Theropoda	extinct	70.6	83.5
Latirhinus_uitstlani	extinct	70.6	83.5
Theropoda	extinct	70.6	83.5
Hadrosaurinae	extinct	70.6	83.5
Theropoda	extinct	70.6	83.5
Hadrosaurinae	extinct	70.6	83.5
Theropoda	extinct	70.6	83.5
Hadrosaurinae	extinct	70.6	83.5
Theropoda	extinct	70.6	83.5
Mononykini	extinct	66	70.6
Tyrannosauridae	extinct	66	70.6
Coelurosauria	extinct	66	70.6
Hadrosauridae	extinct	66	70.6
Ceratopsidae	extinct	66	70.6
Ankylosauridae	extinct	66	70.6
Dinosauria	extinct	70.6	83.5
Macroolithus_yaotunensis	extinct	70.6	83.5
Ovaloolithus_chinkangkouensis	extinct	72.1	83.6
Elongatoolithus_andrewsi	extinct	66	83.6
Anatotitan_copei	extinct	66	72.1
Eubrontes_veillonensis	extinct	201.3	208.5
Grallator_variabilis	extinct	201.3	208.5
Ornithopoda	extinct	125	129.4
Ornithopoda	extinct	129.4	132.9
Theropoda	extinct	129.4	132.9
Aquatilavipes_izumiensis	extinct	129.4	132.9
Dryptosaurus	extinct	70.6	83.5
Theropoda	extinct	70.6	83.5
Hadrosaurus	extinct	70.6	83.5
Hadrosauridae	extinct	70.6	83.5
Ornithopoda	extinct	70.6	83.5
Coelurosaurichnus_perriauxi	extinct	237	247.2
Sphingopus_ferox	extinct	237	247.2
Anchisauripus_bibractensis	extinct	237	247.2
Sphingopus	extinct	237	247.2
Saurolophinae	extinct	66	72.1
Triceratops_prorsus	extinct	66	72.1
Emausaurus_ernsti	extinct	182	183
Mamenchisaurus_constructus	extinct	157.3	163.5
Eoraptor_lunensis	extinct	228	237
Herrerasaurus_ischigualastensis	extinct	228	237
Herrerasaurus_ischigualastensis	extinct	228	237
Titanosaurus_indicus	extinct	66	72.1
Anas	extinct	0.0117	0.126
Meleagris_gallopavo	extinct	0.0117	0.126
Cygnus_columbianus	extinct	0.0117	0.126
Anas_americana	extinct	0.0117	0.126
Protohadros_byrdi	extinct	93.5	99.6
Vagaceratops_irvinensis	extinct	70.6	83.5
Vagaceratops_irvinensis	extinct	70.6	83.5
Iguanodon_mantelli	extinct	122.46	130
Confuciusornis_dui	extinct	122.46	130
Spinosauridae	extinct	100.5	145
Sauropoda	extinct	100.5	145
Tetanurae	extinct	100.5	145
Anatidae	extinct	4.9	10.3
Mantellisaurus_atherfieldensis	extinct	122.46	136.4
Haestasaurus_becklesii	extinct	132.9	145
Wannanosaurus_yansiensis	extinct	66	70.6
Tyrannosauridae	extinct	70.6	83.5
Hadrosauridae	extinct	70.6	83.5
Hadrosauridae	extinct	70.6	83.5
Centrosaurinae	extinct	70.6	83.5
Saurornitholestes	extinct	70.6	83.5
Agujaceratops_mariscalensis	extinct	70.6	83.5
Hadrosauridae	extinct	70.6	83.5
Vorona_berivotrensis	extinct	66	72.1
Tenontosaurus_tilletti	extinct	100.5	113
Tenontosaurus_tilletti	extinct	100.5	113
Dilophosaurus_sinensis	extinct	190.8	201.3
Yunnanosaurus	extinct	190.8	201.3
Carcharodontosaurus_saharicus	extinct	93.5	99.6
Spinosaurus_aegyptiacus	extinct	93.5	99.6
Rebbachisauridae	extinct	136.4	145
Rebbachisauridae	extinct	136.4	145
Sauropoda	extinct	145	163.5
Sauropoda	extinct	145	161.2
Carcharodontosaurus_saharicus	extinct	99.6	145
Elaphrosaurus	extinct	99.6	145
Rebbachisauridae	extinct	99.6	145
Dinosauria	extinct	99.6	161.2
Carcharodontosaurus_saharicus	extinct	99.6	145
Rebbachisauridae	extinct	99.6	145
Rebbachisauridae	extinct	99.6	145
Rebbachisauridae	extinct	99.6	145
Elaphrosaurus	extinct	93.5	112.03
Theropoda	extinct	93.5	112.03
Acrocanthosaurus_atokensis	extinct	113	125
Acrocanthosaurus_atokensis	extinct	113	125
Acrocanthosaurus_atokensis	extinct	113	125
Dinosauria	extinct	93.5	112.03
Dinosauria	extinct	93.5	112.03
Carcharodontosaurus_saharicus	extinct	93.5	112.03
Rebbachisauridae	extinct	93.5	112.03
Elaphrosaurus	extinct	136.4	145
Rebbachisauridae	extinct	136.4	145
Elaphrosaurus	extinct	113	125
Rebbachisauridae	extinct	113	125
Carcharodontosaurus_saharicus	extinct	113	125
Carcharodontosaurus_saharicus	extinct	100.5	113
Rebbachisauridae	extinct	100.5	113
Carcharodontosaurus_saharicus	extinct	100.5	113
Elaphrosaurus	extinct	93.5	145
Carcharodontosaurus_saharicus	extinct	93.5	112.03
Rebbachisauridae	extinct	93.5	112.03
Titanosauridae	extinct	99.6	145
Elaphrosaurus	extinct	136.4	145
Rebbachisauridae	extinct	136.4	145
Bahariasaurus_ingens	extinct	93.5	112.03
Rebbachisauridae	extinct	93.5	112.03
Aegyptosaurus_baharijensis	extinct	93.5	112.03
Rebbachisauridae	extinct	93.5	112.03
Bahariasaurus_ingens	extinct	93.5	105.3
Tetanurae	extinct	93.5	105.3
Carcharodontosaurus_saharicus	extinct	93.5	105.3
Elaphrosaurus	extinct	93.5	105.3
Spinostropheus_gautieri	extinct	93.5	105.3
Rebbachisauridae	extinct	93.5	105.3
Aegyptosaurus_baharijensis	extinct	93.5	105.3
Stegosauria	extinct	93.5	105.3
Rebbachisauridae	extinct	93.5	145
Rebbachisauridae	extinct	136.4	145
Macronaria	extinct	136.4	145
